author,nb_commentaires,total_likes,nb_reponses,score_influence
@vanityslams6693,2,0,2,8
@Bobuxer,1,3,0,7
@xmanykl4400,2,1,1,7
@kamberr9111,1,3,0,7
@instafollowers3479,1,3,0,7
@jeffreyluciana8711,1,3,0,7
@معروفي-ف5م,1,3,0,7
@khayre92,1,3,0,7
@WildStromy,1,3,0,7
@Who_is_Emmy,1,3,0,7
@DariVari007,1,3,0,7
@ImranSharif-hv6mn,1,3,0,7
@Hadramidvp,2,1,1,7
@Mourabitin1958,2,1,1,7
@chainesalwa6508,1,3,0,7
@cagliari5984,2,1,1,7
@azathothog,1,3,0,7
@OmarRamoh94,1,3,0,7
@abesakkaki5082,1,3,0,7
@migozqaalid7071,1,3,0,7
@lanuevaafrica5278,1,3,0,7
@LGM,1,3,0,7
@MrBANTY1111,2,2,0,6
@mehdimaroc3639,2,2,0,6
@maxandlily6074,2,2,0,6
@saidmohsalem2937,2,2,0,6
@BristolEngland,2,2,0,6
@MehdiBarzali,2,2,0,6
@awxcqsd,2,2,0,6
@bln3615,3,0,1,6
@baxstage,2,2,0,6
@husseinbnali8445,1,1,1,6
@Hugohhhgg,1,1,1,6
@TalawiAbdelAziz,6,0,0,6
@S400-x9z,2,2,0,6
@Ass_of_Amalek,1,1,1,6
@DIEZ-we1cm,1,1,1,6
@hajar_nouh,2,2,0,6
@YSNXS,2,2,0,6
@DonCorleone803,1,1,1,6
@YouraverageAmerican-c4v,2,2,0,6
@primeinvestmentslimited4576,2,2,0,6
@MohamedReda-pq2bm,2,2,0,6
@zeedzoon7093,2,2,0,6
@kahinakoffey3686,2,2,0,6
@johnpedersen-w1t,2,2,0,6
@SomeLaPresenceOne,1,1,1,6
@Charles-ul8zn,2,2,0,6
@souljourneybydoha,2,2,0,6
@SelvinElsaAbraham-n3y,2,2,0,6
@elbb6623,2,2,0,6
@ds-oj6fd,2,2,0,6
@damienhudson8028,2,2,0,6
@dyfhebev,1,1,1,6
@AbdelatifHAYDUOR-w7r,6,0,0,6
@kko5779,1,1,1,6
@wagbocoinflip,2,2,0,6
@عبدالحاكم-ص8ي,1,1,1,6
@Panzer9,2,2,0,6
@yakin9940,2,2,0,6
@combdude,1,1,1,6
@lifeisstr4nge,2,2,0,6
@mouhamedaminelaksiri7318,1,1,1,6
@squallleonhartffx,2,2,0,6
@KoreyGraham-h9i,1,1,1,6
@simozaz4736,2,2,0,6
@moel9940,1,1,1,6
@RedTriangle-b4w,2,2,0,6
@benbenham9257,2,2,0,6
@baathi7358,1,1,1,6
@casanegra4494,1,1,1,6
@aymenboustani7919,2,2,0,6
@canelo1728,2,2,0,6
@Ie4s,1,1,1,6
@admar1208,1,1,1,6
@Rolando_Cueva,1,1,1,6
@borkogot5738,2,2,0,6
@odysseytecharts8144,2,2,0,6
@SorminaEriana,2,2,0,6
@botnot5980,2,2,0,6
@QatarIT35,2,2,0,6
@hallala-welbelbala,2,2,0,6
@supereero9,2,2,0,6
@soraya1100,1,2,0,5
@elbasrigamer6287,1,2,0,5
@elmetkelem7524,2,0,1,5
@afandiimuttaqii2894,1,2,0,5
@kjellbrent8114,2,0,1,5
@Catch22-d3g,2,0,1,5
@SamB-f2y,2,0,1,5
@RiadQa47,1,2,0,5
@anieznoticias7062,1,2,0,5
@ismailrafale2076,1,2,0,5
@AnthonyGarcia-sy3yk,2,0,1,5
@thomas11156,1,2,0,5
@jonathaslopes8038,1,2,0,5
@1miary,1,2,0,5
@هشامشتوي,3,1,0,5
@VOLUXMOORS,1,2,0,5
@thecafcl8409,1,2,0,5
@mohammedlaib1847,1,2,0,5
@Geogrified,1,2,0,5
@mohamedmeskini8430,1,2,0,5
@Heavenseven77,1,2,0,5
@H.F.H-e2x,1,2,0,5
